,Northern Mariana Islands,forecast,interval_low,interval_high
2020-03-02,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-03-03,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-03-04,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-03-05,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-03-06,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-03-07,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-03-08,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-03-09,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-03-10,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-03-11,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-03-12,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-03-13,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-03-14,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-03-15,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-03-16,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-03-17,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-03-18,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-03-19,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-03-20,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-03-21,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-03-22,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-03-23,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-03-24,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-03-25,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-03-26,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
